date,title,media_type,url
2021-02-03,Found on the Moon: Candidate for Oldest Known Earth Rock,video,https://www.youtube.com/embed/V0UBZh6Hf-s?rel=0
2021-02-04,Apollo 14: A View from Antares,image,https://apod.nasa.gov/apod/image/2102/a14pan9335-43emj_900.jpg
2021-02-05,Apollo 14 Heads for Home,image,https://apod.nasa.gov/apod/image/2102/AS14-71-9845v2wmktwtr4Jerry.jpg
2021-02-06,A Northern Winter Night,image,https://apod.nasa.gov/apod/image/2102/Siemiony_las_31_01_2021_1024.jpg
2021-02-07,Blue Straggler Stars in Globular Cluster M53,image,https://apod.nasa.gov/apod/image/2102/m53_hubble_960.jpg
2021-02-08,WR23 and Interstellar Clouds in Carina,image,https://apod.nasa.gov/apod/image/2102/WR23Friends_cappelletti_960.jpg
2021-02-09,Flashes of the Crab Pulsar,video,https://www.youtube.com/embed/4on-e614tag?rel=0
2021-02-10,Firing Lasers to Tame the Sky,image,https://apod.nasa.gov/apod/image/2102/AoLasers_Munoz_960.jpg
2021-02-11,Cygnus Mosaic 2010 - 2020,image,https://apod.nasa.gov/apod/image/2102/00Cygnus_Visual_colors1100.jpg
2021-02-12,Spiral Galaxy NGC 1350,image,https://apod.nasa.gov/apod/image/2102/NGC1350_crop1024.jpg
2021-02-13,Stereo Eros,image,https://apod.nasa.gov/apod/image/2102/PIA02471_800.jpg
2021-02-14,Long Stem Rosette Nebula,image,https://apod.nasa.gov/apod/image/2102/rosette_BlockPuckett_960.jpg
2021-02-15,Landing on Mars: Seven Minutes of Terror,video,https://www.youtube.com/embed/Ki_Af_o9Q9s?rel=0
2021-02-16,Perseverance: Seven Minutes to Mars,video,https://www.youtube.com/embed/M4tdMR5HLtg?rel=0
2021-02-17,Sun Pillar with Upper Tangent Arc,image,https://apod.nasa.gov/apod/image/2102/SunPillar_Cohea_960.jpg
2021-02-18,"Swiss Alps, Martian Sky",image,https://apod.nasa.gov/apod/image/2102/SwissAlpsMartianSky1024.jpg
2021-02-19,Mars Perseverance Sol 0,image,https://apod.nasa.gov/apod/image/2102/Mars_Perseverance_FLR_0000_0666952977_800.jpg
2021-02-20,Perseverance: How to Land on Mars,image,https://apod.nasa.gov/apod/image/2102/rover_drop1024.jpg
2021-02-21,NGC 2244: A Star Cluster in the Rosette Nebula,image,https://apod.nasa.gov/apod/image/2102/rosette_goldman_960.jpg
2021-02-22,Moon Rising Between Starships,image,https://apod.nasa.gov/apod/image/2102/StarshipsMoon_Kraus_1080.jpg
2021-02-23,Video: Perseverance Landing on Mars,video,https://www.youtube.com/embed/4czjS9h4Fpg?rel=0
2021-02-24,Spiral Galaxy M66 from Hubble,image,https://apod.nasa.gov/apod/image/2102/M66_HubbleShatz_960.jpg
2021-02-25,A Venus Flyby,image,https://apod.nasa.gov/apod/image/2102/wispr_venus_image.jpg
2021-02-26,Mars Perseverance Sol 3,image,https://apod.nasa.gov/apod/image/2102/PIA24264-1900.jpg
2021-02-27,Perseverance Landing Site from Mars Reconnaissance Orbiter,image,https://apod.nasa.gov/apod/image/2102/PIA24333_fig1_1035c.jpg
2021-02-28,The Aurora Tree,image,https://apod.nasa.gov/apod/image/2102/AuroraTree_Wallace_960.jpg
2021-03-01,The Pelican Nebula in Red and Blue,image,https://apod.nasa.gov/apod/image/2102/Pelican_PetraskoEtAl_960.jpg
2021-03-02,Ingenuity: A Mini-Helicopter Now on Mars,image,https://apod.nasa.gov/apod/image/2103/Helicopter_Mars2020_1080.jpg
2021-03-03,Stars over an Erupting Volcano,image,https://apod.nasa.gov/apod/image/2103/VolcanoStars_Vella_1080.jpg
2021-03-04,Mars in Taurus,image,https://apod.nasa.gov/apod/image/2103/2021_03_02_Mars_Taurus_1024px.jpg
2021-03-05,A Little Like Mars,image,https://apod.nasa.gov/apod/image/2103/Barsa-LikealittleMars1024.jpg
2021-03-06,Perseverance Takes a Spin,image,https://apod.nasa.gov/apod/image/2103/PIA24487_1024.jpg
2021-03-07,Pillars of the Eagle Nebula in Infrared,image,https://apod.nasa.gov/apod/image/2103/M16Ir_HubbleRomero_960.jpg
2021-03-08,Three Tails of Comet NEOWISE,image,https://apod.nasa.gov/apod/image/2103/Neowise3Tails_Lefaudeux_960.jpg
2021-03-09,Perseverance 360: Unusual Rocks and the Search for Life on Mars,video,https://mars.nasa.gov/layout/embed/image/mars-panorama/?id=25674
2021-03-10,NGC 1499: The California Nebula,image,https://apod.nasa.gov/apod/image/2103/NGC1499_Akar_960.jpg
2021-03-11,Zodiacal Light and Mars,image,https://apod.nasa.gov/apod/image/2103/ZodiacalLightBarn1024.jpg
2021-03-12,Messier 81,image,https://apod.nasa.gov/apod/image/2103/BodesGalaxyM81_1024.jpg
2021-03-13,SuperCam Target on Ma'az,image,https://apod.nasa.gov/apod/image/2103/pia24493-2-1041.jpg
2021-03-14,A Flag Shaped Aurora over Sweden,image,https://apod.nasa.gov/apod/image/2103/AuroraFlag_Stalnacke_960.jpg
2021-03-15,Meteor Fireballs in Light and Sound,video,https://www.youtube.com/embed/WJua8eXLX9o?rel=0
2021-03-16,IC 1318: The Butterfly Nebula in Gas and Dust,image,https://apod.nasa.gov/apod/image/2103/IC1318_Pham_960.jpg
2021-03-17,The Surface of Venus from Venera 14,image,https://apod.nasa.gov/apod/image/2103/Venus_Venera14_960.jpg
2021-03-18,Stardust in the Perseus Molecular Cloud,image,https://apod.nasa.gov/apod/image/2103/KerryLeckyHepburn_NGC1333_LRGB_SH_KLH1024.jpg
2021-03-19,Central Lagoon in Infrared,image,https://apod.nasa.gov/apod/image/2103/M8_HLA_F125wF160w_Nachman1024.jpg
2021-03-20,The Leo Trio,image,https://apod.nasa.gov/apod/image/2103/TrioduLionLRVB_FrancisBozon1024.jpg
2021-03-21,The Antikythera Mechanism,image,https://apod.nasa.gov/apod/image/2103/antikythera_wikipedia_960.jpg
2021-03-22,From Auriga to Orion,image,https://apod.nasa.gov/apod/image/2103/AroundOrion_Symon_1080.jpg
2021-03-23,Mars over Duddo Stone Circle,image,https://apod.nasa.gov/apod/image/2103/MarsDuddo_Kivlehan_960.jpg
2021-03-24,Aurorae and Lightning on Jupiter,image,https://apod.nasa.gov/apod/image/2103/AuroraLightningJupiter_Juno_1080.jpg
2021-03-25,Curiosity: Sol 3048,image,https://apod.nasa.gov/apod/image/2103/sol3048curiosityBonoraFaccin500.jpg
2021-03-26,The Medusa Nebula,image,https://apod.nasa.gov/apod/image/2103/Abell21-Drudis1024.jpg
2021-03-27,Exploring the Antennae,image,https://apod.nasa.gov/apod/image/2103/C60-61_PS2_CROP_FULL1024.jpg
2021-03-28,SuitSat-1: A Spacesuit Floats Free,image,https://apod.nasa.gov/apod/image/2103/suitsat1_nasa_1080.jpg
2021-03-29,M64: The Evil Eye Galaxy,image,https://apod.nasa.gov/apod/image/2103/M64_Hubble_960.jpg
2021-03-30,Red Sprite Lightning over the Andes,image,https://apod.nasa.gov/apod/image/2103/sprites_beletsky_960.jpg
2021-01-01,Galaxies and the South Celestial Pole,image,https://apod.nasa.gov/apod/image/2101/2020_12_16_Kujal_Jizni_Pol_1500px-3.jpg
2021-01-02,21st Century Wet Collodion Moon,image,https://apod.nasa.gov/apod/image/2101/WetCollodionLunar112820SMO_1024.jpg
2021-01-03,A Phoenix Aurora over Iceland,image,https://apod.nasa.gov/apod/image/2101/PhoenixAurora_Helgason_960.jpg
2021-01-04,"Sprite Lightning at 100,000 Frames Per Second",video,https://www.youtube.com/embed/zS_XgF9i8tc?rel=0
2021-01-05,The Small Cloud of Magellan,image,https://apod.nasa.gov/apod/image/2101/SMC_Mtanous_960.jpg
2021-01-06,Striped Sand Dunes on Mars,image,https://apod.nasa.gov/apod/image/2101/StripedDunes_HiRISE_1080.jpg
2021-01-07,Total Solar Eclipse 2020,image,https://apod.nasa.gov/apod/image/2101/Tse_2020_400mm_dmwa-rot.jpg
2021-01-08,NGC 1365: Majestic Island Universe,image,https://apod.nasa.gov/apod/image/2101/NGC-1365-RGB-19-DEC-2020_Leo_Mike_1024.jpg
2021-01-09,Titan: Moon over Saturn,image,https://apod.nasa.gov/apod/image/2101/PIA19642Titan1024.jpg
2021-01-10,Star Cluster R136 Breaks Out,image,https://apod.nasa.gov/apod/image/2101/30dor_hubble_960.jpg
2021-01-11,Moon Phases in 2021,video,https://www.youtube.com/embed/8XV2-pmiyAg?rel=0
2021-01-12,A Historic Brazilian Constellation,image,https://apod.nasa.gov/apod/image/2101/OldMan_Guerra_960_lines.jpg
2021-01-13,Arches Across an Arctic Sky,image,https://apod.nasa.gov/apod/image/2101/ArcticSky_Cobianchi_1080.jpg
2021-01-14,Aurora Slathers Up the Sky,image,https://apod.nasa.gov/apod/image/2101/aurora_iss052e007857.jpg
2021-01-15,A Plutonian Landscape,image,https://apod.nasa.gov/apod/image/2101/Pluto-Mountains-Plains9-17-15_1024.jpg
2021-01-16,The Mountains of NGC 2174,image,https://apod.nasa.gov/apod/image/2101/hs-2014-18_n2174rotate1024.jpg
2021-01-17,Jets from Unusual Galaxy Centaurus A,image,https://apod.nasa.gov/apod/image/2101/CenAjets_EsoNasa_960.jpg
2021-01-18,The Medulla Nebula Supernova Remnant,image,https://apod.nasa.gov/apod/image/2101/Medulla_Croman_960.jpg
2021-01-19,A Lunar Corona with Jupiter and Saturn,image,https://apod.nasa.gov/apod/image/2101/CoronaConjunction_Masi_1080.jpg
2021-01-20,The Magnetic Field of the Whirlpool Galaxy,image,https://apod.nasa.gov/apod/image/2101/M51Bfield_Sofia_960.jpg
2021-01-21,M78 Wide Field,image,https://apod.nasa.gov/apod/image/2101/M78wideHiggins1024.jpg
2021-01-22,The Milky Ring,image,https://apod.nasa.gov/apod/image/2101/MilkyWayRingAlvinWu1024.jpg
2021-01-23,Recycling Cassiopeia A,image,https://apod.nasa.gov/apod/image/2101/Chandrafirstlight_0_1024.jpg
2021-01-24,Massive Nearby Spiral Galaxy NGC 2841,image,https://apod.nasa.gov/apod/image/2101/ngc2841_hstColombari_960.jpg
2021-01-25,Southern Cross over Chilean Volcano,image,https://apod.nasa.gov/apod/image/2101/SouthernCross_Slovinsky_960.jpg
2021-01-26,Central NGC 1316: After Galaxies Collide,image,https://apod.nasa.gov/apod/image/2101/NGC1316Center_HubbleNobre_960.jpg
2021-01-27,The Vertical Magnetic Field of NGC 5775,image,https://apod.nasa.gov/apod/image/2101/NGC5775_NraoEnglish_1080.jpg
2021-01-28,Messier 66 Close Up,image,https://apod.nasa.gov/apod/image/2101/M66_Hubble_LeoShatz_Crop1024.jpg
2021-01-29,North American Nightscape,image,https://apod.nasa.gov/apod/image/2101/North-America-Nebula-Deepscape_Liron-Gertsman1024.jpg
2021-01-30,"Southern Sky from 38,000 Feet",image,https://apod.nasa.gov/apod/image/2101/SouthernSkyRohner1200.jpg
2021-01-31,Asteroids in the Distance,image,https://apod.nasa.gov/apod/image/2101/AsteroidStreak_hst_960.jpg
2021-02-01,Lunar Halo over Snowy Trees,image,https://apod.nasa.gov/apod/image/2102/LunarHalo_Strand_960.jpg
2021-02-02,A Colorful Quadrantid Meteor,image,https://apod.nasa.gov/apod/image/2102/MeteorStreak_Kuszaj_1080.jpg
2021-02-03,Found on the Moon: Candidate for Oldest Known Earth Rock,video,https://www.youtube.com/embed/V0UBZh6Hf-s?rel=0
2021-02-04,Apollo 14: A View from Antares,image,https://apod.nasa.gov/apod/image/2102/a14pan9335-43emj_900.jpg
2021-02-05,Apollo 14 Heads for Home,image,https://apod.nasa.gov/apod/image/2102/AS14-71-9845v2wmktwtr4Jerry.jpg
2021-02-06,A Northern Winter Night,image,https://apod.nasa.gov/apod/image/2102/Siemiony_las_31_01_2021_1024.jpg
2021-02-07,Blue Straggler Stars in Globular Cluster M53,image,https://apod.nasa.gov/apod/image/2102/m53_hubble_960.jpg
2021-02-08,WR23 and Interstellar Clouds in Carina,image,https://apod.nasa.gov/apod/image/2102/WR23Friends_cappelletti_960.jpg
2021-02-09,Flashes of the Crab Pulsar,video,https://www.youtube.com/embed/4on-e614tag?rel=0
2021-02-10,Firing Lasers to Tame the Sky,image,https://apod.nasa.gov/apod/image/2102/AoLasers_Munoz_960.jpg
2021-02-11,Cygnus Mosaic 2010 - 2020,image,https://apod.nasa.gov/apod/image/2102/00Cygnus_Visual_colors1100.jpg
2021-02-12,Spiral Galaxy NGC 1350,image,https://apod.nasa.gov/apod/image/2102/NGC1350_crop1024.jpg
2021-02-13,Stereo Eros,image,https://apod.nasa.gov/apod/image/2102/PIA02471_800.jpg
2021-02-14,Long Stem Rosette Nebula,image,https://apod.nasa.gov/apod/image/2102/rosette_BlockPuckett_960.jpg
2021-02-15,Landing on Mars: Seven Minutes of Terror,video,https://www.youtube.com/embed/Ki_Af_o9Q9s?rel=0
2021-02-16,Perseverance: Seven Minutes to Mars,video,https://www.youtube.com/embed/M4tdMR5HLtg?rel=0
2021-02-17,Sun Pillar with Upper Tangent Arc,image,https://apod.nasa.gov/apod/image/2102/SunPillar_Cohea_960.jpg
2021-02-18,"Swiss Alps, Martian Sky",image,https://apod.nasa.gov/apod/image/2102/SwissAlpsMartianSky1024.jpg
2021-02-19,Mars Perseverance Sol 0,image,https://apod.nasa.gov/apod/image/2102/Mars_Perseverance_FLR_0000_0666952977_800.jpg
2021-02-20,Perseverance: How to Land on Mars,image,https://apod.nasa.gov/apod/image/2102/rover_drop1024.jpg
2021-02-21,NGC 2244: A Star Cluster in the Rosette Nebula,image,https://apod.nasa.gov/apod/image/2102/rosette_goldman_960.jpg
2021-02-22,Moon Rising Between Starships,image,https://apod.nasa.gov/apod/image/2102/StarshipsMoon_Kraus_1080.jpg
2021-02-23,Video: Perseverance Landing on Mars,video,https://www.youtube.com/embed/4czjS9h4Fpg?rel=0
2021-02-24,Spiral Galaxy M66 from Hubble,image,https://apod.nasa.gov/apod/image/2102/M66_HubbleShatz_960.jpg
2021-02-25,A Venus Flyby,image,https://apod.nasa.gov/apod/image/2102/wispr_venus_image.jpg
2021-02-26,Mars Perseverance Sol 3,image,https://apod.nasa.gov/apod/image/2102/PIA24264-1900.jpg
2021-02-27,Perseverance Landing Site from Mars Reconnaissance Orbiter,image,https://apod.nasa.gov/apod/image/2102/PIA24333_fig1_1035c.jpg
2021-02-28,The Aurora Tree,image,https://apod.nasa.gov/apod/image/2102/AuroraTree_Wallace_960.jpg
2021-03-01,The Pelican Nebula in Red and Blue,image,https://apod.nasa.gov/apod/image/2102/Pelican_PetraskoEtAl_960.jpg
2021-03-02,Ingenuity: A Mini-Helicopter Now on Mars,image,https://apod.nasa.gov/apod/image/2103/Helicopter_Mars2020_1080.jpg
2021-03-03,Stars over an Erupting Volcano,image,https://apod.nasa.gov/apod/image/2103/VolcanoStars_Vella_1080.jpg
2021-03-04,Mars in Taurus,image,https://apod.nasa.gov/apod/image/2103/2021_03_02_Mars_Taurus_1024px.jpg
2021-03-05,A Little Like Mars,image,https://apod.nasa.gov/apod/image/2103/Barsa-LikealittleMars1024.jpg
2021-03-06,Perseverance Takes a Spin,image,https://apod.nasa.gov/apod/image/2103/PIA24487_1024.jpg
2021-03-07,Pillars of the Eagle Nebula in Infrared,image,https://apod.nasa.gov/apod/image/2103/M16Ir_HubbleRomero_960.jpg
2021-03-08,Three Tails of Comet NEOWISE,image,https://apod.nasa.gov/apod/image/2103/Neowise3Tails_Lefaudeux_960.jpg
2021-03-09,Perseverance 360: Unusual Rocks and the Search for Life on Mars,video,https://mars.nasa.gov/layout/embed/image/mars-panorama/?id=25674
2021-03-10,NGC 1499: The California Nebula,image,https://apod.nasa.gov/apod/image/2103/NGC1499_Akar_960.jpg
2021-03-11,Zodiacal Light and Mars,image,https://apod.nasa.gov/apod/image/2103/ZodiacalLightBarn1024.jpg
2021-03-12,Messier 81,image,https://apod.nasa.gov/apod/image/2103/BodesGalaxyM81_1024.jpg
2021-03-13,SuperCam Target on Ma'az,image,https://apod.nasa.gov/apod/image/2103/pia24493-2-1041.jpg
2021-03-14,A Flag Shaped Aurora over Sweden,image,https://apod.nasa.gov/apod/image/2103/AuroraFlag_Stalnacke_960.jpg
2021-03-15,Meteor Fireballs in Light and Sound,video,https://www.youtube.com/embed/WJua8eXLX9o?rel=0
2021-03-16,IC 1318: The Butterfly Nebula in Gas and Dust,image,https://apod.nasa.gov/apod/image/2103/IC1318_Pham_960.jpg
2021-03-17,The Surface of Venus from Venera 14,image,https://apod.nasa.gov/apod/image/2103/Venus_Venera14_960.jpg
